ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-18,28.805906039018964,13.543551524683497,19.116221759953202,28.805906039018964,28.805906039018964,-12.410595033977442,-12.410595033977442,-12.410595033977442,0.008322986368000425,0.008322986368000425,0.008322986368000425,-12.418918020345442,-12.418918020345442,-12.418918020345442,0.0,0.0,0.0,16.39531100504152
2003-01-19,28.80578051983324,13.76737538778381,19.20243016899255,28.80578051983324,28.80578051983324,-12.337777599428401,-12.337777599428401,-12.337777599428401,0.02233427983537186,0.02233427983537186,0.02233427983537186,-12.360111879263773,-12.360111879263773,-12.360111879263773,0.0,0.0,0.0,16.468002920404842
2003-01-20,28.805655000647526,13.896022113449725,18.9590963884796,28.805655000647526,28.805655000647526,-12.273418842182972,-12.273418842182972,-12.273418842182972,0.026065392906478628,0.026065392906478628,0.026065392906478628,-12.299484235089448,-12.299484235089448,-12.299484235089448,0.0,0.0,0.0,16.532236158464556
2003-01-21,28.805529481461807,13.931062755476932,19.118537764948847,28.805529481461807,28.805529481461807,-12.259120943941785,-12.259120943941785,-12.259120943941785,-0.022694431395772697,-0.022694431395772697,-0.022694431395772697,-12.23642651254601,-12.23642651254601,-12.23642651254601,0.0,0.0,0.0,16.546408537520023
2003-01-22,28.805403962276085,13.910473098201905,19.401738074113926,28.805403962276085,28.805403962276085,-12.19068116035467,-12.19068116035467,-12.19068116035467,-0.020454663218977605,-0.020454663218977605,-0.020454663218977605,-12.170226497135692,-12.170226497135692,-12.170226497135692,0.0,0.0,0.0,16.614722801921417
2003-01-23,28.80527844309037,14.141892228452493,19.359893986790382,28.80527844309037,28.80527844309037,-12.104916070188777,-12.104916070188777,-12.104916070188777,-0.004822746918003256,-0.004822746918003256,-0.004822746918003256,-12.100093323270773,-12.100093323270773,-12.100093323270773,0.0,0.0,0.0,16.700362372901594
2003-01-24,28.80515292390465,14.042561815603278,19.259582154998572,28.80515292390465,28.80515292390465,-12.033935546236508,-12.033935546236508,-12.033935546236508,-0.00875081757719204,-0.00875081757719204,-0.00875081757719204,-12.025184728659314,-12.025184728659314,-12.025184728659314,0.0,0.0,0.0,16.771217377668144
2003-01-25,28.805027404718928,14.208210542026356,19.50305331966344,28.805027404718928,28.805027404718928,-11.936312789837267,-11.936312789837267,-11.936312789837267,0.00832298636799693,0.00832298636799693,0.00832298636799693,-11.944635776205264,-11.944635776205264,-11.944635776205264,0.0,0.0,0.0,16.86871461488166
2003-01-26,28.804901885533212,14.468937652044259,19.53428388385837,28.804901885533212,28.804901885533212,-11.83525392529576,-11.83525392529576,-11.83525392529576,0.022334279835382467,0.022334279835382467,0.022334279835382467,-11.857588205131142,-11.857588205131142,-11.857588205131142,0.0,0.0,0.0,16.969647960237452
2003-01-27,28.804776366347493,14.59647978699471,19.540259703110735,28.804776366347493,28.804776366347493,-11.737154164468114,-11.737154164468114,-11.737154164468114,0.026065392906450782,0.026065392906450782,0.026065392906450782,-11.763219557374565,-11.763219557374565,-11.763219557374565,0.0,0.0,0.0,17.06762220187938
2003-01-28,28.80465084716177,14.54562745560882,19.87261530393649,28.80465084716177,28.80465084716177,-11.683465665366485,-11.683465665366485,-11.683465665366485,-0.022694431395654937,-0.022694431395654937,-0.022694431395654937,-11.660771233970829,-11.660771233970829,-11.660771233970829,0.0,0.0,0.0,17.121185181795283
2003-01-29,28.804525327976055,14.808587068392336,19.948118997123597,28.804525327976055,28.804525327976055,-11.570029332045104,-11.570029332045104,-11.570029332045104,-0.0204546632189857,-0.0204546632189857,-0.0204546632189857,-11.549574668826118,-11.549574668826118,-11.549574668826118,0.0,0.0,0.0,17.23449599593095
