Date,T2M,temperature_2m_min (°C),rain_sum (mm),humidity at 000 utc %,humidity at 000 utc %,pressure at 1200 utc%,windspeed at 1200utc%
03/08/2021,34.5,24.5,0,88,56,938.9,0
04/08/2021,36,22,4.2,88,62,940.4,2
05/08/2021,36.5,25.5,0,92,49,938.6,0
06/08/2021,36,22.5,5,91,50,940.7,0
07/08/2021,35,23.5,0,92,49,941.5,0
08/08/2021,36,26.5,0,88,63,942.7,0
09/08/2021,33.5,22,21,96,48,943.5,0
10/08/2021,35,24.5,0,92,51,940.7,0
11/08/2021,36.3,26,0,88,58,940.5,0
12/08/2021,35.3,26,0,88,54,941.5,0
13/08/2021,37.5,24.5,0,88,56,939,0
14/08/2021,36.5,20,22.6,96,58,939.5,0
15/08/2021,31,19.5,13,88,43,942.5,0
16/08/2021,32.5,20.4,0,91,43,945.6,0
17/08/2021,35.5,21.5,0,92,50,943,0
18/08/2021,36,23,0,84,42,941,2
19/08/2021,37,23,0,88,51,939.6,0
20/08/2021,39,20,1,91,44,942.7,0
21/08/2021,37,22.5,0.1,79,49,946.8,0
22/08/2021,35.5,24,0,88,64,944.9,2
23/08/2021,32.5,25,0,92,56,941.6,2
24/08/2021,35.5,25.5,0,92,56,939.7,0
25/08/2021,37,25.5,0,88,52,937.5,0
26/08/2021,38,26,0,92,56,936.9,0
27/08/2021,36.5,27,0,89,51,939.3,0
28/08/2021,37,21.5,5.5,88,57,941.7,0
29/08/2021,31.5,20.5,27,92,66,942,0
30/08/2021,31,20,16,96,91,947.9,4
31/08/2021,32,18.5,2.3,91,58,947.6,0
01/09/2021,32.3,21,0,96,49,946.6,2
02/09/2021,34.7,21.5,0,91,38,943.6,0
03/09/2021,35.5,22,0,80,45,942.5,2
04/09/2021,36.5,20.5,0,91,51,941.5,0
05/09/2021,36,24.5,0,88,51,943,0
06/09/2021,35.5,25,0,88,54,943.6,0
07/09/2021,36.2,25,0,88,81,946,0
08/09/2021,34.5,23,77.1,92,77,946.6,2
09/09/2021,28,22,11,96,64,944.6,0
10/09/2021,31.5,22.5,0,84,100,944.8,0
11/09/2021,32.5,21,83.3,96,81,946.8,6
12/09/2021,30,21.5,0,96,53,942,2
13/09/2021,32.5,23.5,0,96,57,942,0
14/09/2021,34,23,0,92,50,945.1,0
15/09/2021,35.8,23.3,0,92,47,944.7,0
16/09/2021,35.8,23.2,0,88,50,941.1,0
17/09/2021,36,23.5,0,92,67,943.9,0
18/09/2021,32,23.5,0,92,63,944.6,0
19/09/2021,34.3,25.5,0,92,54,946,0
20/09/2021,36,25.5,0,92,83,946.7,12
21/09/2021,35,21,37,96,68,944,2
22/09/2021,30,21,0,96,50,943.2,0
23/09/2021,34,19,14.4,95,48,945.6,0
24/09/2021,32,21,0,96,51,946.6,2
25/09/2021,34,20.5,0,95,46,944.2,0
26/09/2021,33.5,22,0,96,54,945.2,0
27/09/2021,33.5,23.5,0,92,52,946.2,0
28/09/2021,34,23.5,0,92,62,946.7,0
29/09/2021,34.5,24.3,0,92,62,948.2,0
30/09/2021,34.3,23.3,0,92,67,948.2,0
01/10/2021,34,24,0,92,68,947.9,0
02/10/2021,32.5,19.5,51.9,100,66,947.6,0
03/10/2021,31,20.5,6,95,63,944.2,0
04/10/2021,32.5,23,0,92,60,944.2,0
05/10/2021,32.5,20,1,96,59,949.2,2
06/10/2021,32,17.5,0,95,54,947.8,0
07/10/2021,32.5,16.5,0,95,42,945.5,0
08/10/2021,33.5,17,0,95,61,944.2,0
09/10/2021,32.5,18.5,0,95,54,945.9,0
10/10/2021,33.5,19,0,95,95,947.3,12
11/10/2021,31,17,47,65,51,946.4,0
12/10/2021,30.5,17,0,64,50,947.4,0
13/10/2021,32,15.5,0,95,47,947.5,0
14/10/2021,30.5,14,0,90,43,947.6,0
15/10/2021,32.5,13.5,0,90,42,944.9,0
16/10/2021,34,14,0,95,44,946.8,0
17/10/2021,33,18,0,91,60,948.2,0
18/10/2021,27,15.3,67,95,47,945.5,0
19/10/2021,29,14,0,95,67,946.8,0
20/10/2021,30.7,13,0,95,61,949.4,0
21/10/2021,31.5,13,0,95,64,947.8,0
22/10/2021,31.5,14,0,95,59,947.4,0
23/10/2021,27,12.5,13.8,89,61,951,0
24/10/2021,26,14,0,90,95,957,0
25/10/2021,19.5,10,10,94,56,954.8,0
26/10/2021,25,11,0,94,67,953,0
27/10/2021,25.5,11.5,0,94,61,954.5,0
28/10/2021,27.3,9.5,0,94,61,954.9,0
29/10/2021,28,9,0,94,54,956.7,0
30/10/2021,28.5,9.5,0,94,44,955.2,0
31/10/2021,27,9,0,94,49,951.6,0
01/11/2021,27,10,0,94,63,952.7,0
02/11/2021,25,10.5,0,94,63,955.5,0
03/11/2021,25.4,9.5,0,94,60,954.3,0
04/11/2021,25.8,9.3,0,94,70,952.6,0
05/11/2021,26,11.5,0,94,66,953.6,0
06/11/2021,23,9,0,94,46,952,0
07/11/2021,26.5,7.5,0,93,40,951.1,0
08/11/2021,26.5,8,0,94,35,951.9,0
09/11/2021,27.5,7.5,0,93,54,953.1,0
10/11/2021,28.4,8.5,0,94,53,952.4,0
11/11/2021,27.8,7.5,0,93,47,952.4,0
12/11/2021,27.5,7,0,93,45,952.2,0
13/11/2021,26,6,0,93,52,951.9,0
14/11/2021,27,7,0,93,58,951.6,0
15/11/2021,25.5,6.5,0,93,35,950.9,0
16/11/2021,24.5,6,0,93,64,952.2,0
17/11/2021,24.3,5.2,0,93,60,955.6,0
18/11/2021,23.7,7.4,0,93,51,951.3,0
19/11/2021,24.5,5,0,93,49,949.5,0
20/11/2021,25,5.5,0,93,51,952.5,0
21/11/2021,24,5.5,0,93,48,952.8,0
22/11/2021,24.7,4,0,92,34,950.4,0
23/11/2021,26,4,0,93,52,949.4,0
24/11/2021,24.7,5.2,0,93,50,952.4,0
25/11/2021,24.5,6,0,93,56,953.6,0
26/11/2021,23.5,5,0,93,56,952.9,0
27/11/2021,24,5.5,0,93,64,954.2,0
28/11/2021,23.5,6.5,0,93,52,956,0
29/11/2021,23,6,0,93,52,956.6,2
30/11/2021,23.5,5,0,93,42,953.4,0
01/12/2021,25,5,0,93,56,955.8,0
02/12/2021,23,4.5,0,93,56,955.8,0
03/12/2021,23,5,0,93,58,956.4,0
04/12/2021,23.5,5.5,0,93,54,953.7,0
05/12/2021,23,8,0,89,75,955.8,0
06/12/2021,18,6.5,2,93,62,956.3,2
07/12/2021,21.5,4,0,93,54,957.3,0
08/12/2021,21.5,3.5,0,92,53,956.1,0
09/12/2021,24,4,0,92,45,959.3,0
10/12/2021,24.5,3.5,0,93,33,957.6,0
11/12/2021,23,1.5,0,92,47,956.6,0
12/12/2021,22,2.5,0,92,59,956.6,0
13/12/2021,20.5,2,0,92,57,956.9,0
